movie_id,star_id
tt0468569,nm0000288
tt0468569,nm0005132
tt0468569,nm0001173
tt0038650,nm0000071
tt0468569,nm0000288
tt0468569,nm0005132
tt0038650,nm0001656
tt0038650,nm0000859
tt0110357,nm0000111
tt0110357,nm0000460
tt0110357,nm0000469
tt0468569,nm0001173
tt7466810,nm5756214
tt7466810,nm9321681
tt7466810,nm10816239
tt0109830,nm0000158
tt0109830,nm0000705
tt0109830,nm0000641
tt0108052,nm0000553
tt0108052,nm0000146
tt0108052,nm0001426
tt5074352,nm0451148
tt5074352,nm2799219
tt5074352,nm0760778
tt15398776,nm0614165
tt15398776,nm1289434
tt15398776,nm0000354
tt0167260,nm0000704
tt0167260,nm0001557
tt0167260,nm0005212
tt9362722,nm4271336
tt9362722,nm2794962
tt9362722,nm3109964
tt1375666,nm0000138
tt1375666,nm0330687
tt1375666,nm0680983
tt8503618,nm0592135
tt8503618,nm5623883
tt8503618,nm1502434
tt0118799,nm0000905
tt0118799,nm0000971
tt0118799,nm0134493
tt0038650,nm0000071
tt0038650,nm0001656
tt0118849,nm0619870
tt0118849,nm0268488
tt0118849,nm0781245
tt0038650,nm0000859
tt0120737,nm0000704
tt0120737,nm0005212
tt0120737,nm0089217
tt10280296,nm5817249
tt10280296,nm0779785
tt10280296,nm0389621
tt0245429,nm0153738
tt0245429,nm0687189
tt0245429,nm0997115
tt0088763,nm0000150
tt0088763,nm0000502
tt0088763,nm0000670
tt2356180,nm1027719
tt2356180,nm15086368
tt2356180,nm5800951
tt0118799,nm0000905
tt0118799,nm0000971
tt0118799,nm0134493
tt0045152,nm0000037
tt0045152,nm0640307
tt0045152,nm0001666
tt0114369,nm0000151
tt0114369,nm0000093
tt0114369,nm0000228
tt1375666,nm0000138
tt1375666,nm0330687
tt1375666,nm0680983
tt0110357,nm0000111
tt0110357,nm0000460
tt0110357,nm0000469
tt0112573,nm0000154
tt0112573,nm0000521
tt0112573,nm0001526
tt1675434,nm0167388
tt1675434,nm1082477
tt1675434,nm0494504
tt20850406,nm4921260
tt20850406,nm7021807
tt20850406,nm8612305
tt0102926,nm0000149
tt0102926,nm0000164
tt0102926,nm0001277
tt0367110,nm0451321
tt0367110,nm1539666
tt0367110,nm1584145
tt0167261,nm0000704
tt0167261,nm0005212
tt0167261,nm0001557
tt1620933,nm0451234
tt1620933,nm2977124
tt1620933,nm10564417
tt0034583,nm0000007
tt0034583,nm0000006
tt8503618,nm0592135
tt8503618,nm5623883
tt8503618,nm1502434
tt0027977,nm0000122
tt0027977,nm0002104
tt0027977,nm0074788
tt0034583,nm0002134
tt4633694,nm4271336
tt4633694,nm2159926
tt4633694,nm2794962
tt1562872,nm0004335
tt1562872,nm1027719
tt1562872,nm1867717
tt0133093,nm0000206
tt0133093,nm0000401
tt0133093,nm0005251
tt6751668,nm0814280
tt6751668,nm1310525
tt6751668,nm1856097
tt1950186,nm0000354
tt1950186,nm0000288
tt1950186,nm1256532
tt6316138,nm1002038
tt6316138,nm1385304
tt6316138,nm2349707
tt0095765,nm0634159
tt0095765,nm0134073
tt0095765,nm0041066
tt2380307,nm5645519
tt2380307,nm0305558
tt2380307,nm0000973
tt0021749,nm0000122
tt0021749,nm0156039
tt0021749,nm5681967
tt0075148,nm0000230
tt0075148,nm0001735
tt0075148,nm0949350
tt0080684,nm0000434
tt0080684,nm0000148
tt0080684,nm0000402
tt0407887,nm0000138
tt0407887,nm0000354
tt0407887,nm0000197
tt0057115,nm0000537
tt0057115,nm0001258
tt0057115,nm0000277
tt0059742,nm0000267
tt0059742,nm0001626
tt0059742,nm0662223
tt0910970,nm0123785
tt0910970,nm2264184
tt0910970,nm0307531
tt0027977,nm0000122
tt0027977,nm0002104
tt0027977,nm0074788
tt4633694,nm4271336
tt4633694,nm2159926
tt4633694,nm2794962
tt0363163,nm0004486
tt0363163,nm0487884
tt0363163,nm0559890
tt0032138,nm0000023
tt0032138,nm0604656
tt0032138,nm0001961
tt0110413,nm0000606
tt0110413,nm0000198
tt0110413,nm0000204
tt0114709,nm0000158
tt0114709,nm0000741
tt0114709,nm0725543
tt10189514,nm1421814
tt10189514,nm0712546
tt10189514,nm0882219
tt1979320,nm0117709
tt1979320,nm1165110
tt1979320,nm1312575
tt1187043,nm0451148
tt1187043,nm0534856
tt1187043,nm1587175
tt0021749,nm0000122
tt0021749,nm0156039
tt0021749,nm5681967
tt8291224,nm5817249
tt8291224,nm0712546
tt8291224,nm3741768
tt0073707,nm0474876
tt0073707,nm0004429
tt1291584,nm0362766
tt1291584,nm0000560
tt1291584,nm0249291
tt1049413,nm0000799
tt1049413,nm2973712
tt1049413,nm0001652
tt9362722,nm4271336
tt9362722,nm2794962
tt9362722,nm3109964
tt0482571,nm0000288
tt0482571,nm0413168
tt0482571,nm0424060
tt0073707,nm0000821
tt0057012,nm0000634
tt0057012,nm0001715
tt0057012,nm0001330
tt7019842,nm4043111
tt7019842,nm10174308
tt7019842,nm1375534
tt2119532,nm1940449
tt2119532,nm0941777
tt2119532,nm3478396
tt0081398,nm0000134
tt0081398,nm0001550
tt0081398,nm0000582
tt0435761,nm0000158
tt0435761,nm0000741
tt0114814,nm0000228
tt0435761,nm0000349
tt0114814,nm0000321
tt0114814,nm0001590
tt0169102,nm0451148
tt0169102,nm0944834
tt0169102,nm0961737
tt0076759,nm0000434
tt0076759,nm0000148
tt0076759,nm0000402
tt0032553,nm0000122
tt0032553,nm0002104
tt0032553,nm0642988
tt0405159,nm0005476
tt0405159,nm0000142
tt0405159,nm0000151
tt2024544,nm0252230
tt2024544,nm0931324
tt2024544,nm1055413
tt5311514,nm1126340
tt5311514,nm4759838
tt5311514,nm6954008
tt0047396,nm0000071
tt0047396,nm0000038
tt0047396,nm0179819
tt0066763,nm0004435
tt0066763,nm0000821
tt0066763,nm0764407
tt0986264,nm2594301
tt0986264,nm0451148
tt0986264,nm2540053
tt0114709,nm0000158
tt0114709,nm0000741
tt0114709,nm0725543
tt0103064,nm0000216
tt0103064,nm0000157
tt0103064,nm0000411
tt0119217,nm0000245
tt0119217,nm0000354
tt0119217,nm0000255
tt0054215,nm0000578
tt0054215,nm0001463
tt0054215,nm0587256
tt0395169,nm0000332
tt0395169,nm0645683
tt0395169,nm0001618
tt0169102,nm0451148
tt0169102,nm0944834
tt0169102,nm0961737
tt3783958,nm0331516
tt3783958,nm1297015
tt3783958,nm1679669
tt4729430,nm0005403
tt4729430,nm0799777
tt0047478,nm0001536
tt4729430,nm0429069
tt0047478,nm0793766
tt0047478,nm0875477
tt0338013,nm0000120
tt0338013,nm0000701
tt0338013,nm0929489
tt0053604,nm0000493
tt0053604,nm0000511
tt0053604,nm0534045
tt0871510,nm0451321
tt0871510,nm1540244
tt0871510,nm2469366
tt0364569,nm0158856
tt0364569,nm0949167
tt0364569,nm1367246
tt0101414,nm0641314
tt0101414,nm0000913
tt0101414,nm0181425
tt0074896,nm0000063
tt0074896,nm0660327
tt0074896,nm0030516
tt0347149,nm0047962
tt0052357,nm0000071
tt0052357,nm0001571
tt0052357,nm0000895
tt1049413,nm0000799
tt0347149,nm0454120
tt1049413,nm2973712
tt0347149,nm0309107
tt1049413,nm0001652
tt0056058,nm0619938
tt0056058,nm0410968
tt0056058,nm0412615
tt0352248,nm0000128
tt0352248,nm0000250
tt0352248,nm0081572
tt7286456,nm0001618
tt7286456,nm0000134
tt0060107,nm0813463
tt0103639,nm0918334
tt0060107,nm0487553
tt0060107,nm0342458
tt0103639,nm0000245
tt0103639,nm0488306
tt7286456,nm5939164
tt20850406,nm4921260
tt20850406,nm7021807
tt0053604,nm0000493
tt0053604,nm0000511
tt0053604,nm0534045
tt0266543,nm0000983
tt0266543,nm0001122
tt0266543,nm1071252
tt20850406,nm8612305
tt0211915,nm0851582
tt0211915,nm0440913
tt0211915,nm0749363
tt0067093,nm0867694
tt0067093,nm0186408
tt0067093,nm0294600
tt0054997,nm0000056
tt0054997,nm0001276
tt0054997,nm0001453
tt1345836,nm0000288
tt1345836,nm0362766
tt1345836,nm0004266
tt0019254,nm0266029
tt0019254,nm0798564
tt0019254,nm0075551
tt0211915,nm0851582
tt0211915,nm0440913
tt0211915,nm0749363
tt0118849,nm0619870
tt0118849,nm0268488
tt0435761,nm0000158
tt0172495,nm0000128
tt0435761,nm0000741
tt0172495,nm0001618
tt0435761,nm0000349
tt0172495,nm0001567
tt0118849,nm0781245
tt0107688,nm0000384
tt0107688,nm0001697
tt0107688,nm0001573
tt4169250,nm3818286
tt4169250,nm6442009
tt0045152,nm0000037
tt0045152,nm0640307
tt4169250,nm0451600
tt0045152,nm0001666
tt0090605,nm0000244
tt0090605,nm0000299
tt0090605,nm0001343
tt0053946,nm0000075
tt0053946,nm0545298
tt0053946,nm0000037
tt0110413,nm0000606
tt0045152,nm0000037
tt0110413,nm0000198
tt0045152,nm0640307
tt0110413,nm0000204
tt0012349,nm0000122
tt0012349,nm0701012
tt0012349,nm0001067
tt0045152,nm0001666
tt0080455,nm0000004
tt0080455,nm0000101
tt0080455,nm0130572
tt0209144,nm0001602
tt0209144,nm0005251
tt0209144,nm0001592
tt1504320,nm0000147
tt1504320,nm0001691
tt1504320,nm0000307
tt9052870,nm3818286
tt9052870,nm3601766
tt9052870,nm5607349
tt1125849,nm0000620
tt1125849,nm0000673
tt1125849,nm0939697
tt0070735,nm0000056
tt0070735,nm0000602
tt0070735,nm0001727
tt0476735,nm1002038
tt0476735,nm0476334
tt0476735,nm0406157
tt23289160,nm4947538
tt23289160,nm1126340
tt23289160,nm2747232
tt0168629,nm0001951
tt0168629,nm0000366
tt0168629,nm0001556
tt0091251,nm0470385
tt0091251,nm0592500
tt0091251,nm0490708
tt0031381,nm0000022
tt0031381,nm0000046
tt0031381,nm0593775
tt0102138,nm0000126
tt0102138,nm0000198
tt0102138,nm0000493
tt0059742,nm0000267
tt0059742,nm0001626
tt9052870,nm3818286
tt0059742,nm0662223
tt9052870,nm3601766
tt9052870,nm5607349
tt0210945,nm0000243
tt0210945,nm0001599
tt0210945,nm0365445
tt0347304,nm0006689
tt0347304,nm0451321
tt0347304,nm0451307
tt0082971,nm0000148
tt0082971,nm0000261
tt0082971,nm0293550
tt0083987,nm0001426
tt0083987,nm0000024
tt0083987,nm0368990
tt0051201,nm0000061
tt0051201,nm0000017
tt0051201,nm0001452
tt0053291,nm0000054
tt0053291,nm0000348
tt0053291,nm0000493
tt4729430,nm0005403
tt4729430,nm0799777
tt4729430,nm0429069
tt0964517,nm0000242
tt0964517,nm0000288
tt0964517,nm0010736
tt0364569,nm0158856
tt0364569,nm0949167
tt0364569,nm1367246
tt0032138,nm0000023
tt0032138,nm0604656
tt0032138,nm0001961
tt0104940,nm0000323
tt0104940,nm0324397
tt0104940,nm0926209
tt1305806,nm0201857
tt1305806,nm0897845
tt1305806,nm0706567
tt0405094,nm0618057
tt0405094,nm0311476
tt0405094,nm0462407
tt0808417,nm0557859
tt0808417,nm0000366
tt0808417,nm0001687
tt0993846,nm0000138
tt0993846,nm1706767
tt0993846,nm3053338
tt1201607,nm0705356
tt1201607,nm0914612
tt1201607,nm0342488
tt0067992,nm0000698
tt0067992,nm0016776
tt0067992,nm0652578
tt0108037,nm0347509
tt4154796,nm0000375
tt0108037,nm0899953
tt0108037,nm0480869
tt4154796,nm0262635
tt4154796,nm0749263
tt0057565,nm0001536
tt0057565,nm0755403
tt0057565,nm0619938
tt0078748,nm0000244
tt0078748,nm0000643
tt0078748,nm0000457
tt0167260,nm0000704
tt0167260,nm0001557
tt0167260,nm0005212
tt1375666,nm0000138
tt1375666,nm0330687
tt1375666,nm0680983
tt0068646,nm0000008
tt0068646,nm0000199
tt0068646,nm0001001
tt0412080,nm0000164
tt0412080,nm0002663
tt0412080,nm0713747
tt15097216,nm1421814
tt15097216,nm7934649
tt15097216,nm8904193
tt0167260,nm0000704
tt0167260,nm0001557
tt0167260,nm0005212
tt0054215,nm0000578
tt0054215,nm0001463
tt0054215,nm0587256
tt0120815,nm0000158
tt0120815,nm0000354
tt0120815,nm0001744
tt0816692,nm0000190
tt0468569,nm0000288
tt0816692,nm0004266
tt0816692,nm1567113
tt0468569,nm0005132
tt0468569,nm0001173
tt0120737,nm0000704
tt0120737,nm0005212
tt0120737,nm0089217
tt0120689,nm0000158
tt23289160,nm4947538
tt0120689,nm0003817
tt23289160,nm1126340
tt0120689,nm0001556
tt0120737,nm0000704
tt0120737,nm0005212
tt0120737,nm0089217
tt23289160,nm2747232
tt0118799,nm0000905
tt0118799,nm0000971
tt0118799,nm0134493
tt0071562,nm0000199
tt0071562,nm0000134
tt0071562,nm0000380
tt0133093,nm0000206
tt0133093,nm0000401
tt0133093,nm0005251
tt0167261,nm0000704
tt0167261,nm0005212
tt0167261,nm0001557
tt0081505,nm0000197
tt0081505,nm0001167
tt0081505,nm0515950
tt0114369,nm0000151
tt0114369,nm0000093
tt0114369,nm0000228
tt1375666,nm0000138
tt1375666,nm0330687
tt1375666,nm0680983
tt0034583,nm0000007
tt0034583,nm0000006
tt0034583,nm0002134
tt0050083,nm0000020
tt0050083,nm0002011
tt0050083,nm0000842
tt0080684,nm0000434
tt0080684,nm0000148
tt0080684,nm0000402
tt0080684,nm0000434
tt0080684,nm0000148
tt0080684,nm0000402
tt0167261,nm0000704
tt0167261,nm0005212
tt0084787,nm0000621
tt0167261,nm0001557
tt0084787,nm0000979
tt0084787,nm0202966
tt0110912,nm0000237
tt0110912,nm0000235
tt0110912,nm0000168
tt0253474,nm0004778
tt0253474,nm0470981
tt0253474,nm0277975
tt0245429,nm0153738
tt0245429,nm0687189
tt0245429,nm0997115
tt0038650,nm0000071
tt0038650,nm0001656
tt0038650,nm0000859
tt9362722,nm4271336
tt9362722,nm2794962
tt9362722,nm3109964
tt0056058,nm0619938
tt0056058,nm0410968
tt0056058,nm0412615
tt0060196,nm0000142
tt0060196,nm0908919
tt0060196,nm0001812
tt0099685,nm0000134
tt0099685,nm0000501
tt0099685,nm0000582
tt0095327,nm0851302
tt0095327,nm0794186
tt0095327,nm0945312
tt8239946,nm3630374
tt8239946,nm8375514
tt8239946,nm4663387
tt9362722,nm4271336
tt9362722,nm2794962
tt9362722,nm3109964
tt0076759,nm0000434
tt0076759,nm0000148
tt0076759,nm0000402
tt15097216,nm1421814
tt15097216,nm7934649
tt15097216,nm8904193
tt7466810,nm5756214
tt7466810,nm9321681
tt7466810,nm10816239
tt0361748,nm0000093
tt0361748,nm1208167
tt0361748,nm0744834
tt0120689,nm0000158
tt0120689,nm0003817
tt0120689,nm0001556
tt0070047,nm0000995
tt0070047,nm0001884
tt0070047,nm0000304
tt20850406,nm4921260
tt20850406,nm7021807
tt20850406,nm8612305
tt0103064,nm0000216
tt0103064,nm0000157
tt0103064,nm0000411
tt0078788,nm0000640
tt0078788,nm0000008
tt0078788,nm0000380
tt0816692,nm0000190
tt0816692,nm0004266
tt0816692,nm1567113
tt0046911,nm0797531
tt0046911,nm0167243
tt0046911,nm0582890
tt0245429,nm0153738
tt0245429,nm0687189
